Settings: pheremoneInit: 8, foodInit:0.9, alpha:10, randomLimit:1
Run: 16= 0.0398699, 49.44445, 0: 0.0252809, 1: 0.2247191, 2: 0.2247191, 3: 0.0252809, 4: 0.0252809, 5: 0.0252809, 6: 0.2247191, 7: 0.2247191, Next: 1
Run: 17= 0.007487059, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.04205608, 4: 0.3738318, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 0
Run: 18= 0.1228162, 19.86111, 0: 0.06293707, 1: 0.06293707, 2: 0.06293707, 3: 0.06293707, 4: 0.06293707, 5: 0.06293707, 6: 0.06293707, 7: 0.5594406, Next: 1
Run: 19= 0.03376043, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 20= 0.4580464, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 3
Run: 21= 0.1739655, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 22= 0.6577994, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 5
Run: 23= 0.2413635, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 1
Run: 24= 0.8587855, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 6
Run: 25= 0.9810258, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 7
Run: 26= 0.00241065, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
Run: 27= 0.02412558, 10, 0: 0.125, 1: 0.125, 2: 0.125, 3: 0.125, 4: 0.125, 5: 0.125, 6: 0.125, 7: 0.125, Next: 0
